"Xcor, Ycor, type"
415,394,chair
449,372,chair
425,359,chair
420,311,person
423,307,person
416,295,person
412,258,person
406,262,person
402,262,person
390,261,person
383,267,person
382,268,person
388,263,person
393,262,person
403,263,person
407,264,person
415,263,person
411,261,person
411,265,person
414,263,person
436,261,person
443,262,person
426,274,person
428,301,person
422,310,person
430,360,chair
421,351,person
423,356,chair
419,348,person
406,345,person
406,344,person
-7,225,chair
-10,136,tvmonitor
-2,164,tvmonitor
436,316,person
437,272,person
439,260,person
427,203,person
398,182,person
379,171,person
305,188,person
272,187,person
308,191,person
336,183,person
371,173,person
368,175,person
364,174,person
369,189,person
339,214,person
388,213,person
421,207,person
423,252,person
420,270,person
432,318,person
436,318,person
445,311,person
5,179,tvmonitor
3,172,tvmonitor
3,173,tvmonitor
4,184,tvmonitor
2,182,tvmonitor
-1,177,tvmonitor
-6,165,tvmonitor
-6,169,tvmonitor
-2,167,tvmonitor
0,167,tvmonitor
-5,167,tvmonitor
-4,167,tvmonitor
-2,165,tvmonitor
-3,165,tvmonitor
-3,165,tvmonitor
